src_LOGCode,nbr_LOGCode,src_Avg_Buiding_Size,nbr_Avg_Buiding_Size,src_Inventory,nbr_Inventory,LENGTH,NODE_COUNT
LOG-LOSA-18,LOG-LOSA-78,111624,94613,17190116,5582183,0,2
LOG-LOSA-19,LOG-LOSA-0D,85069,0,6210051,0,0.784143075,0
LOG-LOSA-19,LOG-LOSA-65,85069,0,6210051,0,0.196002567,0
LOG-LOSA-20,LOG-LOSA-02,265000,140147,265000,700735,0,3
LOG-LOSA-20,LOG-LOSA-07,265000,244146,265000,1953171,0.042893526,0
LOG-LOSA-20,LOG-LOSA-39,265000,67994,265000,747930,0,2
LOG-LOSA-21,LOG-LOSA-12,44400,0,133200,0,0.014400766,0
LOG-LOSA-21,LOG-LOSA-23,44400,41752,133200,167009,0.029797705,0
LOG-LOSA-22,LOG-LOSA-04,67888,79351,475214,317405,0,3
LOG-LOSA-22,LOG-LOSA-25,67888,92257,475214,2121912,0,4
LOG-LOSA-22,LOG-LOSA-26,67888,121121,475214,3997000,0,2
LOG-LOSA-22,LOG-LOSA-52,67888,79062,475214,158125,0.033239891,0
LOG-LOSA-22,LOG-LOSA-65,67888,0,475214,0,0.048319065,0
LOG-LOSA-22,LOG-LOSA-69,67888,44919,475214,179675,0,7
LOG-LOSA-23,LOG-LOSA-12,41752,0,167009,0,0.014403206,0
LOG-LOSA-23,LOG-LOSA-15,41752,37320,167009,186599,0.000275016,0
LOG-LOSA-23,LOG-LOSA-63,41752,104890,167009,2307581,0,9
LOG-LOSA-24,LOG-LOSA-41,98250,66759,9825026,600833,0.021715528,0
LOG-LOSA-26,LOG-LOSA-25,121121,92257,3997000,2121912,0.033593293,0
LOG-LOSA-27,LOG-LOSA-22,77106,67888,771059,475214,0,22
LOG-LOSA-27,LOG-LOSA-26,77106,121121,771059,3997000,0.059177036,0
LOG-LOSA-27,LOG-LOSA-44,77106,46084,771059,553005,0.003840295,0
LOG-LOSA-27,LOG-LOSA-73,77106,43000,771059,129000,0,3
LOG-LOSA-28,LOG-LOSA-12,60528,0,181585,0,0,2
LOG-LOSA-28,LOG-LOSA-21,60528,44400,181585,133200,0.017288736,0
LOG-LOSA-28,LOG-LOSA-53,60528,80212,181585,1363597,0.075838546,0
LOG-LOSA-28,LOG-LOSA-65,60528,0,181585,0,0.140190786,0
LOG-LOSA-28,LOG-LOSA-79,60528,118934,181585,14509976,0.076278569,0
LOG-LOSA-28,LOG-LOSA-89,60528,0,181585,0,0.009030309,0
LOG-LOSA-28,LOG-LOSA-91,60528,45427,181585,363416,0.011052157,0
LOG-LOSA-29,LOG-LOSA-30,204209,90125,612626,720997,0.043025473,0
LOG-LOSA-29,LOG-LOSA-32,204209,155291,612626,3571694,0,2
LOG-LOSA-30,LOG-LOSA-32,90125,155291,720997,3571694,0,3
LOG-LOSA-30,LOG-LOSA-67,90125,92637,720997,1019005,0.038155581,0
